timestamp,term_249,term_252,term_372,mean_energy,std_energy
2020-08-31 22:03:40+00:00,7577.354272591403,6555.157561433876,5239.7574409606295,6457.42309166197,1171.8591027716407
2020-08-31 22:03:45+00:00,8395.21500245645,7205.535239108107,5561.993926989184,7054.2480561845805,1422.656414741689
2020-08-31 22:03:50+00:00,8445.85433493155,7250.1470278301,5576.862657366761,7090.954673376137,1441.10546656775
2020-08-31 22:03:55+00:00,8220.407201076392,6855.561707913166,5079.952500440371,6718.640469809977,1574.6982253020744
2020-08-31 22:04:00+00:00,8370.298831302322,7306.156221722901,6998.016358618267,7558.157137214497,720.0125986852017
2020-08-31 22:04:05+00:00,7975.944907302069,7308.366136095119,7357.943329859349,7547.418124418847,371.942034827428
2020-08-31 22:04:10+00:00,13986.090353319385,14571.002051653835,17454.80208243086,15337.298162468025,1856.9861501921853
2020-08-31 22:04:15+00:00,34415.134294430005,36884.92376970366,64307.87387364131,45202.64397925832,16591.634096765814
2020-08-31 22:04:20+00:00,28489.429046748017,30638.961592941538,54590.115783257694,37906.16880764908,14488.639948438089
2020-08-31 22:04:25+00:00,9289.30418408093,10087.641264464306,9593.392215463336,9656.779221336192,402.92549914830096
2020-08-31 22:04:30+00:00,10507.603568918887,11457.245030129292,9536.110507994048,10500.319702347408,960.5879731024777
